county,todays date,hospitalized covid confirmed patients,hospitalized suspected covid patients,hospitalized covid patients,all hospital beds,icu covid confirmed patients,icu suspected covid patients,icu available beds
Lake,5/27/2020,0,0,0,110,0,0,0
San Joaquin,5/27/2020,14,23,37,1366,7,4,21
El Dorado,5/27/2020,1,2,3,199,1,2,7
San Luis Obispo,5/27/2020,2,4,6,464,2,1,22
Butte,5/27/2020,6,1,7,448,3,0,21
Trinity,5/27/2020,0,2,2,54,0,0,
Amador,5/27/2020,0,0,0,51,0,0,3
Solano,5/27/2020,20,14,34,707,8,2,41
Modoc,5/27/2020,0,0,0,41,0,0,
Santa Barbara,5/27/2020,22,5,27,717,9,2,94
Colusa,5/27/2020,0,0,0,88,0,0,6
Stanislaus,5/27/2020,17,8,25,1369,6,3,89
Plumas,5/27/2020,0,0,0,45,0,0,
San Bernardino,5/27/2020,159,101,260,4821,54,19,222
Orange,5/27/2020,307,111,418,6993,125,19,403
Kern,5/27/2020,63,5,68,1727,28,0,72
Yolo,5/27/2020,0,0,0,186,0,0,3
Shasta,5/27/2020,0,0,0,667,0,0,15
Tulare,5/27/2020,36,5,41,920,10,3,13
Ventura,5/27/2020,28,24,52,1349,10,10,40
Lassen,5/27/2020,0,1,1,25,0,0,
San Benito,5/27/2020,1,0,1,25,0,0,1
Kings,5/27/2020,23,1,24,199,7,0,0
Tuolumne,5/27/2020,0,0,0,151,0,0,0
Madera,5/27/2020,2,2,4,528,0,0,24
San Diego,5/27/2020,329,79,408,6215,144,12,315
Sonoma,5/27/2020,9,22,31,871,3,2,51
Nevada,5/27/2020,1,3,4,122,1,2,6
Glenn,5/27/2020,0,0,0,47,0,0,
Calaveras,5/27/2020,0,0,0,50,0,0,11
Imperial,5/27/2020,67,17,84,210,14,0,13
Siskiyou,5/27/2020,0,3,3,65,0,1,5
Inyo,5/27/2020,0,0,0,42,0,0,4
Napa,5/28/2020,1,1,2,387,1,0,1
Sutter,5/28/2020,0,0,0,14,0,0,
Trinity,5/28/2020,0,3,3,54,0,0,
Del Norte,5/28/2020,0,0,0,51,0,0,4
Yolo,5/28/2020,0,0,0,186,0,0,8
Monterey,5/28/2020,11,0,11,811,3,0,101
San Luis Obispo,5/28/2020,2,0,2,475,2,0,24
Stanislaus,5/28/2020,15,8,23,1369,6,1,78
Los Angeles,5/28/2020,1415,639,2054,23608,458,112,1275
Lake,5/28/2020,0,1,1,110,0,0,0
Merced,5/28/2020,6,2,8,242,4,0,4
Orange,5/28/2020,291,106,397,6993,119,13,403
Santa Barbara,5/28/2020,19,7,26,717,9,3,74
Ventura,5/28/2020,28,19,47,1353,10,9,54
San Francisco,5/28/2020,49,42,91,2619,20,9,83
Lassen,5/28/2020,0,1,1,25,0,0,
Sacramento,5/28/2020,14,27,41,2395,8,4,95
Inyo,5/28/2020,0,0,0,42,0,0,4
Sonoma,5/28/2020,8,30,38,871,2,2,46
Marin,5/28/2020,3,7,10,390,1,0,14
San Bernardino,5/28/2020,156,87,243,4821,53,17,186
Nevada,5/28/2020,1,2,3,128,1,1,5
Modoc,5/28/2020,0,0,0,41,0,0,
Fresno,5/28/2020,68,39,107,2131,16,2,82
Mariposa,5/28/2020,0,2,2,30,0,0,
Alameda,5/28/2020,96,57,153,2968,44,13,106
Siskiyou,5/28/2020,0,0,0,65,0,0,6
Madera,5/28/2020,1,0,1,528,0,0,25
Plumas,5/28/2020,0,0,0,45,0,0,
Glenn,5/28/2020,0,0,0,47,0,0,
Humboldt,5/28/2020,5,4,9,352,1,0,5
San Joaquin,5/28/2020,15,25,40,1366,5,5,16
Shasta,5/28/2020,0,0,0,667,0,0,9
Butte,5/28/2020,5,1,6,448,3,0,22
Contra Costa,5/28/2020,13,38,51,1628,7,7,103
Kern,5/28/2020,58,8,66,1744,25,0,77
Mendocino,5/28/2020,3,0,3,180,1,0,4
Placer,5/28/2020,5,18,23,753,3,3,33
Amador,5/28/2020,0,1,1,51,0,0,4
Calaveras,5/28/2020,1,0,1,50,1,0,10
San Benito,5/28/2020,0,0,0,25,0,0,0
Imperial,5/28/2020,61,7,68,199,19,1,10
Tulare,5/28/2020,37,2,39,920,10,1,8
Yuba,5/28/2020,1,0,1,445,0,0,11
Santa Cruz,5/28/2020,3,0,3,397,1,0,13
Mono,5/28/2020,0,0,0,40,0,0,2
El Dorado,5/28/2020,1,5,6,199,1,5,8
San Diego,5/28/2020,313,70,383,6238,137,16,317
Kings,5/28/2020,25,0,25,199,7,0,2
Colusa,5/28/2020,0,0,0,88,0,0,6
Solano,5/28/2020,19,16,35,707,8,0,40
Santa Clara,5/28/2020,26,14,40,3318,13,2,180
Riverside,5/28/2020,202,99,301,4000,62,23,134
Tehama,5/28/2020,0,0,0,106,0,0,4
San Mateo,5/28/2020,39,10,49,1096,17,1,44
Tuolumne,5/28/2020,0,0,0,151,0,0,2
Los Angeles,5/29/2020,1402,570,1972,23642,446,103,1258
Amador,5/29/2020,0,0,0,51,0,0,3
Yolo,5/29/2020,0,0,0,186,0,0,5
Contra Costa,5/29/2020,15,35,50,1628,8,3,101
Santa Clara,5/29/2020,26,22,48,3318,13,1,182
Stanislaus,5/29/2020,13,11,24,1370,7,2,75
Tehama,5/29/2020,0,0,0,106,0,0,1
El Dorado,5/29/2020,1,5,6,199,1,3,8
Shasta,5/29/2020,0,0,0,667,0,0,9
Kern,5/29/2020,54,16,70,1741,28,1,70
Imperial,5/29/2020,60,4,64,192,17,1,11
Santa Barbara,5/29/2020,16,11,27,717,8,4,76
San Mateo,5/29/2020,37,8,45,1096,14,1,47
Lake,5/29/2020,0,1,1,110,0,0,0
Napa,5/29/2020,0,0,0,387,1,0,4
San Diego,5/29/2020,300,58,358,6192,138,16,291
Kings,5/29/2020,27,1,28,199,7,0,2
Glenn,5/29/2020,0,0,0,47,0,0,
Tulare,5/29/2020,37,3,40,920,11,2,17
Mendocino,5/29/2020,2,0,2,180,1,0,3
Merced,5/29/2020,6,7,13,242,4,1,5
Solano,5/29/2020,20,11,31,707,8,2,38
Modoc,5/29/2020,0,0,0,41,0,0,
Placer,5/29/2020,8,15,23,753,4,1,35
Del Norte,5/29/2020,0,0,0,51,0,0,3
Alameda,5/29/2020,102,77,179,2968,42,12,118
Lassen,5/29/2020,0,1,1,25,0,0,
Sutter,5/29/2020,0,0,0,14,0,0,
Calaveras,5/29/2020,1,1,2,50,1,1,9
Sacramento,5/29/2020,14,23,37,2416,8,9,84
Fresno,5/29/2020,63,44,107,2145,17,5,86
Sonoma,5/29/2020,7,37,44,871,2,6,51
San Luis Obispo,5/29/2020,3,5,8,469,3,3,13
Riverside,5/29/2020,191,79,270,3994,62,14,128
Mariposa,5/29/2020,0,2,2,30,0,0,
Orange,5/29/2020,262,62,324,6993,100,8,409
Plumas,5/29/2020,0,1,1,45,0,0,
Monterey,5/29/2020,10,1,11,811,3,0,116
Marin,5/29/2020,4,6,10,390,1,1,19
Yuba,5/29/2020,1,0,1,445,0,0,11
Butte,5/29/2020,6,0,6,448,2,0,18
Madera,5/29/2020,0,0,0,528,0,0,22
San Joaquin,5/29/2020,17,24,41,1366,5,6,17
Nevada,5/29/2020,0,2,2,130,0,0,8
Inyo,5/29/2020,0,0,0,42,0,0,3
San Benito,5/29/2020,0,0,0,25,0,0,1
Siskiyou,5/29/2020,1,0,1,65,0,0,5
Mono,5/29/2020,0,0,0,40,0,0,2
Santa Cruz,5/29/2020,3,9,12,397,1,0,18
Ventura,5/29/2020,31,16,47,1352,10,6,47
Trinity,5/29/2020,0,0,0,54,0,0,
San Francisco,5/29/2020,49,16,65,2619,19,6,88
San Bernardino,5/29/2020,134,95,229,4821,50,13,164
Humboldt,5/29/2020,5,8,13,352,0,0,7
Colusa,5/29/2020,0,0,0,88,0,0,6
Tuolumne,5/29/2020,0,0,0,151,0,0,2
Colusa,5/30/2020,0,0,0,88,0,0,6
San Diego,5/30/2020,311,86,397,6197,144,17,302
Kern,5/30/2020,55,21,76,1564,29,2,72
Lake,5/30/2020,0,0,0,110,0,0,0
Riverside,5/30/2020,185,84,269,3954,61,15,133
Butte,5/30/2020,6,0,6,448,2,0,24
Lassen,5/30/2020,0,1,1,25,0,0,
Tulare,5/30/2020,37,2,39,920,12,2,19
Santa Cruz,5/30/2020,3,9,12,397,1,0,18
Merced,5/30/2020,7,7,14,242,3,1,4
Solano,5/30/2020,18,11,29,707,7,2,39
San Luis Obispo,5/30/2020,3,2,5,464,3,0,13
Plumas,5/30/2020,0,1,1,45,0,0,
Amador,5/30/2020,0,0,0,51,0,0,4
Mariposa,5/30/2020,0,2,2,30,0,0,
Contra Costa,5/30/2020,14,32,46,1628,7,4,97
Siskiyou,5/30/2020,0,0,0,65,0,1,2
Stanislaus,5/30/2020,14,8,22,1369,9,1,77
Sacramento,5/30/2020,14,23,37,2402,8,9,86
Mono,5/30/2020,0,0,0,40,0,0,2
Monterey,5/30/2020,11,0,11,811,3,0,95
Mendocino,5/30/2020,2,0,2,180,1,0,4
Del Norte,5/30/2020,0,0,0,51,0,0,3
Modoc,5/30/2020,0,0,0,41,0,0,
Los Angeles,5/30/2020,1357,577,1934,23636,440,100,1288
Sonoma,5/30/2020,5,56,61,871,2,10,46
Kings,5/30/2020,27,1,28,199,9,0,0
San Mateo,5/30/2020,44,13,57,1096,13,2,51
Fresno,5/30/2020,70,48,118,2147,17,2,89
Ventura,5/30/2020,26,20,46,1332,11,12,42
El Dorado,5/30/2020,1,6,7,199,1,6,8
Glenn,5/30/2020,0,0,0,47,0,0,
Madera,5/30/2020,1,2,3,528,0,0,17
Orange,5/30/2020,291,131,422,6993,122,26,396
Santa Barbara,5/30/2020,18,8,26,717,7,3,90
Trinity,5/30/2020,0,0,0,54,0,0,
San Joaquin,5/30/2020,19,23,42,1366,6,8,15
San Benito,5/30/2020,0,0,0,25,0,0,2
Napa,5/30/2020,0,4,4,387,0,2,1
Humboldt,5/30/2020,5,12,17,352,0,1,4
San Francisco,5/30/2020,47,17,64,2619,19,6,78
Calaveras,5/30/2020,1,1,2,50,1,1,9
Santa Clara,5/30/2020,29,17,46,3318,11,0,175
Sutter,5/30/2020,0,0,0,14,0,0,
Placer,5/30/2020,6,16,22,753,4,0,42
Nevada,5/30/2020,0,1,1,126,0,0,8
San Bernardino,5/30/2020,130,95,225,4821,52,12,203
Shasta,5/30/2020,1,0,1,667,1,0,10
Marin,5/30/2020,3,5,8,390,1,0,18
Alameda,5/30/2020,105,41,146,2968,38,12,126
Imperial,5/30/2020,73,8,81,217,22,0,6
Tuolumne,5/30/2020,0,0,0,151,0,0,4
Yuba,5/30/2020,1,0,1,445,0,0,12
Tehama,5/30/2020,0,0,0,106,0,0,8
Yolo,5/30/2020,0,0,0,186,0,0,3
Inyo,5/30/2020,0,0,0,42,0,0,3
Butte,5/31/2020,5,0,5,448,2,0,22
Del Norte,5/31/2020,0,1,1,51,0,1,4
Inyo,5/31/2020,0,0,0,42,0,0,4
Tuolumne,5/31/2020,0,0,0,151,0,0,3
San Francisco,5/31/2020,50,19,69,2619,22,4,91
Sacramento,5/31/2020,16,18,34,2393,7,2,94
San Luis Obispo,5/31/2020,3,1,4,455,3,1,20
Mariposa,5/31/2020,0,0,0,30,0,0,
Amador,5/31/2020,0,0,0,51,0,0,0
Ventura,5/31/2020,25,21,46,1329,11,5,40
Mono,5/31/2020,0,0,0,40,0,0,2
Tehama,5/31/2020,0,0,0,106,0,0,7
Yolo,5/31/2020,0,0,0,186,0,0,3
Kings,5/31/2020,28,2,30,199,10,0,0
Sonoma,5/31/2020,5,44,49,871,2,8,48
Marin,5/31/2020,2,6,8,390,1,0,17
Riverside,5/31/2020,195,99,294,3954,62,15,141
Humboldt,5/31/2020,4,6,10,352,0,0,8
San Mateo,5/31/2020,46,10,56,1096,26,1,39
Sutter,5/31/2020,0,0,0,14,0,0,
Santa Barbara,5/31/2020,22,4,26,717,7,2,89
Calaveras,5/31/2020,1,0,1,50,1,0,9
Contra Costa,5/31/2020,11,32,43,1628,6,6,94
Placer,5/31/2020,9,9,18,753,2,1,39
Orange,5/31/2020,283,124,407,6993,120,22,408
Los Angeles,5/31/2020,1389,519,1908,23606,416,95,1316
San Bernardino,5/31/2020,136,73,209,4821,53,10,205
Yuba,5/31/2020,1,0,1,445,0,0,12
San Diego,5/31/2020,306,92,398,6120,145,8,327
Merced,5/31/2020,6,5,11,242,3,1,5
Lake,5/31/2020,1,0,1,110,0,0,0
Napa,5/31/2020,0,2,2,387,0,0,11
San Joaquin,5/31/2020,18,27,45,1366,6,8,18
Fresno,5/31/2020,68,52,120,2138,18,10,83
Santa Clara,5/31/2020,25,13,38,3318,9,2,196
Santa Cruz,5/31/2020,3,10,13,397,1,0,18
El Dorado,5/31/2020,1,6,7,199,1,3,4
Lassen,5/31/2020,0,1,1,25,0,0,
Siskiyou,5/31/2020,0,0,0,65,0,1,1
Kern,5/31/2020,59,16,75,1732,30,2,64
Plumas,5/31/2020,0,1,1,45,0,0,
Alameda,5/31/2020,99,33,132,2968,37,8,131
Solano,5/31/2020,19,10,29,707,5,1,38
Stanislaus,5/31/2020,16,17,33,1369,6,2,85
Shasta,5/31/2020,1,0,1,667,1,0,11
Trinity,5/31/2020,0,1,1,54,0,0,
Monterey,5/31/2020,9,0,9,811,4,0,98
Mendocino,5/31/2020,1,0,1,180,1,0,2
Madera,5/31/2020,2,2,4,528,1,0,23
Colusa,5/31/2020,0,1,1,88,0,0,6
Glenn,5/31/2020,0,0,0,47,0,0,
Imperial,5/31/2020,73,7,80,217,22,0,6
Nevada,5/31/2020,0,0,0,127,0,0,3
Tulare,5/31/2020,35,1,36,920,12,1,13
San Benito,5/31/2020,0,0,0,25,0,0,2
Modoc,5/31/2020,0,0,0,41,0,0,
Imperial,6/1/2020,68,3,71,193,20,1,8
Placer,6/1/2020,9,8,17,753,2,1,38
Ventura,6/1/2020,24,21,45,1317,8,5,36
Humboldt,6/1/2020,4,6,10,352,0,0,7
Monterey,6/1/2020,9,0,9,811,4,0,100
Merced,6/1/2020,5,3,8,242,3,0,5
Santa Cruz,6/1/2020,3,1,4,397,2,1,18
San Luis Obispo,6/1/2020,3,3,6,454,3,0,22
Modoc,6/1/2020,0,0,0,41,0,0,
El Dorado,6/1/2020,1,5,6,199,1,3,8
Butte,6/1/2020,4,0,4,448,1,1,17
Calaveras,6/1/2020,1,0,1,50,1,0,9
Marin,6/1/2020,2,3,5,390,0,1,22
Mendocino,6/1/2020,0,1,1,180,1,1,2
Trinity,6/1/2020,0,1,1,54,0,0,
Los Angeles,6/1/2020,1422,596,2018,23614,425,105,1305
Yolo,6/1/2020,0,0,0,186,0,0,4
Fresno,6/1/2020,68,54,122,2142,17,6,393
Sonoma,6/1/2020,5,62,67,871,2,5,50
Del Norte,6/1/2020,0,0,0,51,0,0,4
Tulare,6/1/2020,34,1,35,920,11,1,14
Lassen,6/1/2020,0,1,1,25,0,0,
Madera,6/1/2020,2,1,3,528,1,0,22
Mariposa,6/1/2020,0,0,0,30,0,0,
San Joaquin,6/1/2020,23,25,48,1366,8,8,26
Alameda,6/1/2020,97,51,148,2968,37,9,134
Orange,6/1/2020,292,113,405,6993,121,20,430
Tehama,6/1/2020,0,0,0,106,0,0,3
Mono,6/1/2020,0,0,0,40,0,0,2
Kern,6/1/2020,63,14,77,1722,30,3,69
Napa,6/1/2020,0,2,2,387,0,0,6
Lake,6/1/2020,1,1,2,110,0,1,2
Sacramento,6/1/2020,14,18,32,2409,8,5,103
Riverside,6/1/2020,203,104,307,3969,62,14,148
Stanislaus,6/1/2020,22,11,33,1369,7,1,79
Solano,6/1/2020,20,17,37,707,5,4,41
San Francisco,6/1/2020,45,29,74,2619,18,2,85
Sutter,6/1/2020,0,0,0,14,0,0,
Yuba,6/1/2020,1,0,1,445,0,0,14
Kings,6/1/2020,26,2,28,199,8,0,2
Nevada,6/1/2020,0,1,1,131,0,0,6
Plumas,6/1/2020,0,0,0,45,0,0,
San Mateo,6/1/2020,40,6,46,1096,11,0,42
San Benito,6/1/2020,0,0,0,25,0,0,3
Inyo,6/1/2020,0,0,0,42,0,0,4
Colusa,6/1/2020,0,1,1,88,0,0,6
Shasta,6/1/2020,1,0,1,667,1,0,8
Santa Barbara,6/1/2020,25,4,29,717,7,3,80
Tuolumne,6/1/2020,0,0,0,151,0,0,0
San Bernardino,6/1/2020,148,69,217,4821,62,17,186
Santa Clara,6/1/2020,26,14,40,3318,9,2,192
San Diego,6/1/2020,314,83,397,6121,150,16,317
Siskiyou,6/1/2020,0,3,3,65,0,1,5
Contra Costa,6/1/2020,13,17,30,1628,8,5,100
Amador,6/1/2020,0,0,0,51,0,0,4
Glenn,6/1/2020,0,0,0,47,0,0,
Nevada,6/2/2020,0,1,1,135,0,0,7
Calaveras,6/2/2020,1,0,1,50,1,0,8
Lassen,6/2/2020,0,1,1,25,0,0,
Santa Clara,6/2/2020,26,23,49,3318,10,7,177
Sacramento,6/2/2020,17,25,42,2405,9,10,78
Trinity,6/2/2020,0,2,2,54,0,0,
San Benito,6/2/2020,0,0,0,25,0,0,2
Mendocino,6/2/2020,1,0,1,180,1,0,4
Madera,6/2/2020,6,4,10,528,2,0,19
Merced,6/2/2020,4,2,6,242,3,0,2
Sutter,6/2/2020,0,0,0,14,0,0,
Tehama,6/2/2020,0,0,0,106,0,0,4
Colusa,6/2/2020,0,1,1,88,0,1,5
Mariposa,6/2/2020,0,0,0,30,0,0,
El Dorado,6/2/2020,1,7,8,199,1,5,2
Napa,6/2/2020,0,2,2,387,0,0,6
Orange,6/2/2020,306,92,398,6993,130,18,388
San Bernardino,6/2/2020,156,70,226,4821,63,13,189
Imperial,6/2/2020,66,1,67,237,18,0,8
Glenn,6/2/2020,0,0,0,47,0,0,
Kings,6/2/2020,31,1,32,199,8,0,6
Lake,6/2/2020,1,1,2,110,0,0,0
San Diego,6/2/2020,297,72,369,6143,142,16,301
Sonoma,6/2/2020,3,69,72,871,2,5,52
Monterey,6/2/2020,12,0,12,811,4,0,98
San Luis Obispo,6/2/2020,2,2,4,460,2,0,23
Contra Costa,6/2/2020,15,41,56,1628,8,12,94
Del Norte,6/2/2020,0,0,0,51,0,0,2
Shasta,6/2/2020,1,0,1,667,1,0,6
Ventura,6/2/2020,25,21,46,1343,10,9,34
Stanislaus,6/2/2020,25,11,36,1374,7,3,68
Tuolumne,6/2/2020,0,0,0,151,0,0,1
San Joaquin,6/2/2020,25,27,52,1366,9,6,20
Yolo,6/2/2020,0,0,0,186,0,0,2
Modoc,6/2/2020,0,0,0,41,0,0,
Siskiyou,6/2/2020,0,3,3,65,0,1,5
Marin,6/2/2020,1,10,11,390,0,2,17
Tulare,6/2/2020,32,2,34,920,10,2,25
Plumas,6/2/2020,0,0,0,45,0,0,
Inyo,6/2/2020,0,0,0,42,0,0,4
Placer,6/2/2020,9,18,27,753,2,2,38
Solano,6/2/2020,16,16,32,707,4,5,41
Butte,6/2/2020,4,2,6,448,1,0,15
Amador,6/2/2020,0,0,0,51,0,0,3
San Francisco,6/2/2020,43,28,71,2647,18,8,76
Fresno,6/2/2020,64,37,101,2126,16,2,90
Mono,6/2/2020,0,0,0,40,0,0,2
Santa Cruz,6/2/2020,2,3,5,397,1,0,16
Yuba,6/2/2020,1,0,1,445,0,0,15
Los Angeles,6/2/2020,1457,570,2027,23620,439,85,1276
Santa Barbara,6/2/2020,25,3,28,717,8,1,84
Humboldt,6/2/2020,3,6,9,352,0,0,7
Alameda,6/2/2020,92,68,160,2968,33,5,131
San Mateo,6/2/2020,42,17,59,1096,17,1,31
Riverside,6/2/2020,211,94,305,3979,66,14,127
Kern,6/2/2020,67,15,82,1732,33,1,67
San Benito,6/3/2020,0,0,0,25,0,0,2
Del Norte,6/3/2020,0,0,0,51,0,0,0
Lake,6/3/2020,1,0,1,110,0,0,2
Riverside,6/3/2020,221,101,322,4001,71,14,137
Mendocino,6/3/2020,1,0,1,180,1,0,3
Alameda,6/3/2020,89,80,169,2968,32,6,144
Lassen,6/3/2020,0,1,1,25,0,0,
Solano,6/3/2020,10,13,23,707,4,1,48
Mariposa,6/3/2020,0,0,0,30,0,0,
Nevada,6/3/2020,0,0,0,131,0,0,6
Colusa,6/3/2020,0,0,0,88,0,0,6
Madera,6/3/2020,0,0,0,528,1,0,19
San Joaquin,6/3/2020,28,32,60,1366,10,5,21
El Dorado,6/3/2020,1,6,7,199,1,5,10
Calaveras,6/3/2020,1,0,1,50,1,0,8
Santa Clara,6/3/2020,30,27,57,3318,8,6,184
San Bernardino,6/3/2020,157,75,232,4821,67,18,178
Orange,6/3/2020,296,80,376,6993,124,10,387
Sonoma,6/3/2020,3,76,79,871,2,8,50
San Diego,6/3/2020,295,75,370,6214,134,24,288
Merced,6/3/2020,3,1,4,242,3,0,2
Fresno,6/3/2020,59,38,97,2126,16,3,88
Ventura,6/3/2020,24,19,43,1337,9,4,34
San Francisco,6/3/2020,37,34,71,2647,17,4,80
Placer,6/3/2020,11,23,34,753,2,2,41
Napa,6/3/2020,0,2,2,387,0,0,5
Modoc,6/3/2020,0,0,0,41,0,0,
Tulare,6/3/2020,37,2,39,920,8,0,6
Trinity,6/3/2020,0,2,2,54,0,0,
Plumas,6/3/2020,0,0,0,45,0,0,
Shasta,6/3/2020,1,0,1,667,0,0,4
Los Angeles,6/3/2020,1488,502,1990,23607,435,78,1239
Glenn,6/3/2020,0,0,0,47,0,0,
Santa Barbara,6/3/2020,21,4,25,717,9,1,79
San Mateo,6/3/2020,43,23,66,1101,15,6,36
Imperial,6/3/2020,69,4,73,237,17,0,6
Amador,6/3/2020,0,0,0,51,0,0,2
Tuolumne,6/3/2020,0,0,0,151,0,0,0
Sutter,6/3/2020,0,0,0,14,0,0,
Sacramento,6/3/2020,19,33,52,2418,12,6,94
Contra Costa,6/3/2020,15,52,67,1628,4,12,101
Butte,6/3/2020,4,0,4,448,0,0,22
Siskiyou,6/3/2020,0,1,1,65,0,1,6
Stanislaus,6/3/2020,27,14,41,1369,6,2,75
Monterey,6/3/2020,12,0,12,811,4,0,96
Kings,6/3/2020,32,0,32,199,7,0,2
Marin,6/3/2020,1,10,11,390,0,3,19
Kern,6/3/2020,66,9,75,1759,35,1,74
Inyo,6/3/2020,0,0,0,42,0,0,4
San Luis Obispo,6/3/2020,2,1,3,466,2,1,21
Mono,6/3/2020,0,0,0,40,0,0,1
Tehama,6/3/2020,0,0,0,106,0,0,5
Humboldt,6/3/2020,1,5,6,352,0,0,7
Santa Cruz,6/3/2020,2,1,3,397,1,0,12
Yuba,6/3/2020,2,0,2,445,0,0,19
Yolo,6/3/2020,0,0,0,186,0,0,3
Merced,6/4/2020,3,4,7,242,3,0,4
Los Angeles,6/4/2020,1462,586,2048,23715,453,99,1249
Monterey,6/4/2020,13,1,14,811,3,0,95
Plumas,6/4/2020,0,0,0,45,0,0,
Colusa,6/4/2020,0,0,0,88,0,0,6
Riverside,6/4/2020,226,91,317,4025,73,20,122
Kern,6/4/2020,62,14,76,1756,34,1,78
Orange,6/4/2020,300,110,410,6993,123,18,393
Madera,6/4/2020,1,1,2,528,1,0,24
Siskiyou,6/4/2020,0,1,1,65,0,0,5
Sacramento,6/4/2020,28,33,61,2423,14,7,103
Santa Cruz,6/4/2020,2,3,5,397,1,0,16
Butte,6/4/2020,4,0,4,448,0,0,22
San Luis Obispo,6/4/2020,2,0,2,464,2,0,23
Santa Barbara,6/4/2020,28,10,38,717,9,2,65
Fresno,6/4/2020,66,35,101,2136,16,3,95
Sutter,6/4/2020,0,0,0,14,0,0,
Amador,6/4/2020,0,0,0,51,0,0,2
Mendocino,6/4/2020,1,0,1,180,1,1,2
Tuolumne,6/4/2020,1,0,1,151,0,0,0
Lake,6/4/2020,2,2,4,110,0,1,1
Inyo,6/4/2020,0,0,0,42,0,0,2
El Dorado,6/4/2020,1,5,6,199,1,3,7
Contra Costa,6/4/2020,18,70,88,1628,7,10,101
Alameda,6/4/2020,82,92,174,2968,32,9,157
Santa Clara,6/4/2020,37,38,75,3318,14,7,176
Sonoma,6/4/2020,4,54,58,871,2,7,51
Yuba,6/4/2020,3,0,3,445,1,0,14
Mariposa,6/4/2020,0,0,0,30,0,0,
Mono,6/4/2020,0,0,0,40,0,0,2
Glenn,6/4/2020,0,0,0,47,0,0,
Del Norte,6/4/2020,0,0,0,51,0,0,1
Imperial,6/4/2020,74,3,77,237,18,0,4
San Bernardino,6/4/2020,168,70,238,4821,66,15,169
Kings,6/4/2020,33,0,33,199,7,0,3
Tehama,6/4/2020,0,0,0,106,0,0,2
Napa,6/4/2020,0,3,3,397,0,1,0
Placer,6/4/2020,11,35,46,753,2,3,47
Solano,6/4/2020,10,21,31,707,4,1,48
Lassen,6/4/2020,0,1,1,25,0,0,
San Diego,6/4/2020,297,82,379,6218,135,18,292
Marin,6/4/2020,2,8,10,390,0,3,13
Humboldt,6/4/2020,0,2,2,352,0,2,2
San Benito,6/4/2020,0,0,0,25,0,0,2
Stanislaus,6/4/2020,29,16,45,1369,7,3,78
San Joaquin,6/4/2020,28,27,55,1366,12,3,18
Tulare,6/4/2020,39,2,41,920,9,1,3
Nevada,6/4/2020,0,0,0,125,0,0,5
Trinity,6/4/2020,0,1,1,54,0,0,
Calaveras,6/4/2020,0,0,0,50,0,0,10
San Francisco,6/4/2020,41,21,62,2647,15,4,87
Modoc,6/4/2020,0,0,0,41,0,0,
Yolo,6/4/2020,0,0,0,186,0,0,0
Shasta,6/4/2020,2,0,2,667,0,0,5
Ventura,6/4/2020,27,23,50,1333,7,5,34
San Mateo,6/4/2020,35,18,53,1101,11,3,48
Modoc,6/5/2020,0,0,0,41,0,0,
Kings,6/5/2020,31,0,31,199,7,0,1
Mendocino,6/5/2020,1,0,1,180,1,0,2
Imperial,6/5/2020,79,3,82,237,15,0,7
Santa Clara,6/5/2020,43,32,75,3375,18,6,206
Stanislaus,6/5/2020,25,14,39,1369,8,1,76
Riverside,6/5/2020,228,98,326,4023,75,24,129
Nevada,6/5/2020,0,2,2,130,0,0,4
San Benito,6/5/2020,0,0,0,25,0,0,1
El Dorado,6/5/2020,2,3,5,199,2,1,8
Glenn,6/5/2020,0,0,0,47,0,0,
San Bernardino,6/5/2020,180,63,243,4821,61,14,140
Mono,6/5/2020,0,0,0,40,0,0,2
Sacramento,6/5/2020,35,37,72,2424,14,7,95
Lassen,6/5/2020,0,0,0,25,0,0,
Sutter,6/5/2020,0,0,0,14,0,0,
Monterey,6/5/2020,14,1,15,811,3,0,92
Lake,6/5/2020,1,0,1,110,0,0,2
Los Angeles,6/5/2020,1451,547,1998,23507,439,109,1210
Siskiyou,6/5/2020,0,1,1,65,0,0,6
Colusa,6/5/2020,0,0,0,88,0,0,6
San Joaquin,6/5/2020,26,33,59,1366,13,4,14
Kern,6/5/2020,62,16,78,1756,33,1,80
Madera,6/5/2020,3,2,5,528,1,2,19
Tulare,6/5/2020,39,2,41,920,7,0,8
Butte,6/5/2020,2,0,2,448,1,0,21
Del Norte,6/5/2020,0,0,0,51,0,0,2
Placer,6/5/2020,11,21,32,753,4,3,49
Tuolumne,6/5/2020,1,0,1,151,0,0,2
San Luis Obispo,6/5/2020,3,3,6,483,2,0,27
Calaveras,6/5/2020,0,0,0,50,0,0,10
San Diego,6/5/2020,299,69,368,6190,137,16,320
Orange,6/5/2020,315,80,395,6973,131,11,401
Humboldt,6/5/2020,0,1,1,352,0,0,1
Shasta,6/5/2020,0,0,0,667,0,0,4
Amador,6/5/2020,0,0,0,51,0,0,2
Ventura,6/5/2020,29,21,50,1357,9,3,45
Alameda,6/5/2020,82,68,150,2968,30,10,154
Contra Costa,6/5/2020,17,46,63,1628,6,6,105
Sonoma,6/5/2020,3,69,72,871,2,8,54
Napa,6/5/2020,1,2,3,397,1,0,0
Yuba,6/5/2020,3,0,3,445,2,0,13
